iter	Passed	Remaining
622	21465	116352
623	21506	116354
624	21548	116362
625	21588	116359
626	21632	116373
627	21676	116387
628	21716	116387
629	21722	116197
630	21729	116016
631	21734	115825
632	21740	115642
633	21747	115462
634	21789	115466
635	21831	115471
636	21871	115471
637	21912	115471
638	21919	115292
639	21960	115293
640	21966	115107
641	21975	114941
642	22016	114943
643	22058	114948
644	22099	114953
645	22142	114962
646	22147	114778
647	22190	114789
648	22209	114673
649	22250	114675
650	22257	114500
651	22297	114497
652	22303	114319
653	22345	114323
654	22357	114179
655	22364	114002
656	22371	113833
657	22412	113835
658	22455	113843
659	22461	113668
660	22502	113670
661	22544	113677
662	22553	113515
663	22595	113521
664	22601	113347
665	22608	113176
666	22613	112999
667	22656	113009
668	22697	113010
669	22737	113009
670	22744	112839
671	22749	112664
672	22789	112659
673	22830	112663
674	22871	112662
675	22877	112492
676	22917	112490
677	22964	112521
678	22976	112378
679	22992	112256
680	23039	112288
681	23085	112315
682	23133	112348
683	23142	112195
684	23185	112205
685	23226	112205
686	23268	112212
687	23310	112217
688	23355	112235
689	23400	112254
690	23451	112304
691	23459	112142
692	23468	111993
693	23513	112009
694	23555	112014
695	23596	112015
696	23638	112019
697	23669	111970
698	23708	111964
699	23750	111965
700	23769	111861
701	23810	111861
702	23851	111859
703	23892	111859
704	23932	111855
705	23974	111857
706	23981	111697
707	24021	111693
708	24063	111698
709	24106	111706
710	24150	111715
711	24191	111714
712	24199	111561
713	24240	111560
714	24281	111557
715	24300	111454
716	24341	111455
717	24371	111404
718	24412	111398
719	24419	111242
720	24461	111244
721	24503	111249
722	24543	111245
723	24552	111097
724	24593	111094
725	24634	111091
726	24665	111044
727	24706	111045
728	24715	110895
729	24755	110892
730	24797	110892
731	24838	110889
732	24845	110737
733	24887	110741
734	24895	110588
735	24935	110583
736	24977	110586
737	25019	110586
738	25025	110432
739	25066	110430
740	25097	110382
741	25109	110252
742	25150	110249
743	25192	110252
744	25234	110252
745	25276	110253
746	25284	110109
747	25324	110102
748	25365	110096
749	25375	109962
750	25415	109953
751	25457	109952
752	25475	109853
753	25517	109855
754	25524	109703
755	25565	109699
756	25606	109698
757	25647	109693
758	25688	109692
759	25695	109545
760	25736	109541
761	25778	109540
762	25809	109497
763	25816	109347
764	25822	109199
765	25864	109196
766	25904	109189
767	25945	109187
768	25954	109048
769	25995	109045
770	26001	108895
771	26007	108745
772	26048	108744
773	26055	108598
774	26095	108591
775	26136	108587
776	26143	108441
777	26149	108295
778	26192	108298
779	26233	108295
780	26239	108149
781	26258	108054
782	26297	108045
783	26338	108042
784	26379	108038
785	26387	107901
786	26418	107854
787	26425	107715
788	26467	107716
789	26499	107675
790	26541	107676
791	26581	107668
792	26622	107665
793	26629	107522
794	26670	107519
795	26711	107517
796	26752	107514
797	26792	107507
798	26799	107366
799	26840	107362
800	26871	107317
801	26912	107312
802	26921	107184
803	26934	107066
804	26941	106927
805	26947	106787
806	26956	106657
807	26969	106541
808	27011	106542
809	27017	106403
810	27059	106401
811	27066	106264
812	27073	106128
813	27079	105989
814	27119	105982
815	27159	105976
816	27170	105853
817	27212	105855
818	27254	105858
819	27263	105728
820	27269	105590
821	27310	105586
822	27352	105586
823	27396	105595
824	27444	105621
825	27494	105649
826	27535	105647
827	27576	105644
828	27595	105555
829	27626	105514
830	27635	105388
831	27640	105248
832	27646	105109
833	27652	104974
834	27659	104842
835	27666	104709
836	27707	104706
837	27713	104569
838	27720	104439
839	27728	104311
840	27740	104199
841	27748	104072
842	27755	103942
843	27762	103814
844	27803	103811
845	27844	103808
846	27852	103682
847	27893	103678
848	27899	103548
849	27906	103417
850	27912	103287
851	27953	103282
852	27993	103278
853	28006	103171
854	28014	103047
855	28024	102931
856	28064	102926
857	28071	102797
858	28083	102688
859	28089	102558
860	28096	102433
861	28127	102393
862	28132	102261
863	28137	102129
864	28143	101998
865	28185	102001
866	28226	101999
867	28232	101871
868	28239	101746
869	28246	101623
870	28253	101498
871	28293	101493
872	28333	101489
873	28340	101363
874	28381	101361
875	28388	101237
876	28393	101110
877	28399	100984
878	28406	100860
879	28447	100859
880	28452	100731
881	28459	100609
882	28501	100610
883	28520	100530
884	28526	100406
885	28567	100403
886	28572	100277
887	28578	100152
888	28618	100147
889	28625	100028
890	28666	100026
891	28672	99902
892	28712	99900
893	28719	99779
894	28726	99659
895	28732	99538
896	28739	99417
897	28745	99295
898	28751	99173
899	28757	99054
900	28763	98933
901	28769	98811
902	28775	98692
903	28781	98570
904	28788	98452
905	28793	98330
906	28833	98327
907	28841	98214
908	28882	98211
909	28888	98093
910	28895	97977
911	28900	97856
912	28908	97743
913	28914	97624
914	28919	97503
915	28924	97383
916	28930	97266
917	28936	97149
918	28943	97034
919	28952	96927
920	28957	96808
921	28962	96688
922	28969	96575
923	28975	96457
924	28980	96340
925	28985	96222
926	28990	96104
927	28997	95992
928	29002	95874
929	29009	95763
930	29051	95765
931	29091	95765
932	29098	95654
933	29139	95655
934	29158	95585
935	29165	95471
936	29196	95441
937	29205	95338
938	29247	95341
939	29288	95344
940	29330	95347
941	29373	95353
942	29413	95351
943	29455	95354
944	29462	95245
945	29471	95142
946	29490	95073
947	29533	95080
948	29575	95084
949	29620	95097
950	29663	95104
951	29704	95103
952	29711	94996
953	29743	94967
954	29787	94976
955	29828	94978
956	29869	94976
957	29910	94977
958	29916	94866
959	29956	94861
960	29969	94772
961	29978	94671
962	29985	94564
963	29992	94457
964	30032	94454
965	30039	94347
966	30079	94345
967	30091	94252
968	30099	94150
969	30139	94147
970	30180	94148
971	30223	94154
972	30265	94156
973	30307	94157
974	30315	94056
975	30325	93960
976	30366	93957
977	30409	93964
978	30415	93856
979	30456	93854
980	30463	93750
981	30472	93652
982	30479	93546
983	30519	93543
984	30528	93443
985	30569	93443
986	30610	93443
987	30651	93443
988	30693	93445
989	30733	93441
990	30742	93343
991	30783	93344
992	30796	93257
993	30814	93188
994	30854	93184
995	30896	93186
996	30937	93183
997	30977	93181
998	30985	93079
999	31027	93081
1000	31034	92978
1001	31076	92981
1002	31082	92877
1003	31091	92778
1004	31098	92676
1005	31138	92674
1006	31179	92673
1007	31187	92572
1008	31230	92576
1009	31238	92478
1010	31280	92480
1011	31321	92479
1012	31361	92475
1013	31402	92473
1014	31411	92378
1015	31417	92274
1016	31431	92192
1017	31443	92107
1018	31499	92149
1019	31540	92147
1020	31553	92065
1021	31593	92061
1022	31634	92059
1023	31653	91992
1024	31696	91996
1025	31741	92007
1026	31754	91922
1027	31795	91922
1028	31838	91926
1029	31846	91828
1030	31885	91822
1031	31898	91738
1032	31938	91733
1033	31944	91630
1034	31984	91625
1035	32024	91623
1036	32066	91621
1037	32108	91622
1038	32114	91522
1039	32124	91430
1040	32165	91430
1041	32207	91429
1042	32248	91428
1043	32290	91428
1044	32297	91329
1045	32303	91228
1046	32322	91163
1047	32330	91067
1048	32371	91065
1049	32411	91060
1050	32453	91060
1051	32461	90967
1052	32501	90960
1053	32513	90877
1054	32520	90779
1055	32538	90714
1056	32552	90635
1057	32593	90634
1058	32636	90636
1059	32644	90541
1060	32656	90459
1061	32661	90358
1062	32701	90352
1063	32745	90358
1064	32786	90356
1065	32792	90255
1066	32832	90251
1067	32839	90153
1068	32878	90147
1069	32921	90150
1070	32962	90147
1071	33002	90141
1072	33012	90053
1073	33017	89953
1074	33058	89949
1075	33066	89856
1076	33108	89857
1077	33151	89859
1078	33162	89775
1079	33194	89747
1080	33236	89747
1081	33278	89746
1082	33321	89749
1083	33331	89662
1084	33339	89571
1085	33360	89513
1086	33370	89428
1087	33382	89346
1088	33389	89253
1089	33431	89254
1090	33473	89253
1091	33482	89164
1092	33525	89166
1093	33532	89073
1094	33540	88981
1095	33553	88904
1096	33595	88904
1097	33602	88811
1098	33646	88815
1099	33657	88732
1100	33700	88736
1101	33745	88741
1102	33753	88653
1103	33763	88569
1104	33771	88478
1105	33778	88385
1106	33787	88298
1107	33793	88205
1108	33836	88205
1109	33846	88122
1110	33853	88031
1111	33896	88032
1112	33937	88030
1113	33948	87950
1114	33956	87859
1115	33997	87857
1116	34006	87772
1117	34014	87682
1118	34057	87684
1119	34100	87687
1120	34113	87610
1121	34120	87522
1122	34127	87431
1123	34170	87432
1124	34176	87340
1125	34221	87346
1126	34228	87257
1127	34235	87165
1128	34243	87079
1129	34285	87079
1130	34296	86998
1131	34338	86997
1132	34391	87025
1133	34434	87026
1134	34476	87027
1135	34491	86958
1136	34502	86877
1137	34510	86790
1138	34532	86739
1139	34539	86652
1140	34549	86570
1141	34594	86577
1142	34601	86489
1143	34645	86492
1144	34656	86413
1145	34663	86325
1146	34675	86250
1147	34721	86259
1148	34763	86258
1149	34774	86180
1150	34818	86184
1151	34830	86108
1152	34841	86029
1153	34885	86033
1154	34928	86035
1155	34935	85949
1156	34946	85871
1157	34953	85785
1158	34997	85788
1159	35006	85706
1160	35013	85619
1161	35046	85595
1162	35088	85593
1163	35097	85511
1164	35143	85521
1165	35189	85528
1166	35199	85449
1167	35220	85397
1168	35264	85400
1169	35284	85347
1170	35330	85353
1171	35337	85269
1172	35345	85184
1173	35366	85131
1174	35374	85048
1175	35383	84968
1176	35392	84887
1177	35400	84803
1178	35445	84810
1179	35452	84726
1180	35463	84650
1181	35508	84656
1182	35518	84578
1183	35560	84576
1184	35602	84574
1185	35610	84492
1186	35653	84493
1187	35661	84411
1188	35669	84329
1189	35713	84332
1190	35727	84264
1191	35734	84179
1192	35779	84186
1193	35787	84103
1194	35795	84021
1195	35802	83939
1196	35811	83860
1197	35834	83812
1198	35841	83728
1199	35885	83731
1200	35928	83734
1201	35974	83740
1202	36020	83749
1203	36030	83673
1204	36038	83590
1205	36082	83593
1206	36091	83516
1207	36100	83436
1208	36144	83440
1209	36152	83359
1210	36162	83283
1211	36170	83203
1212	36179	83126
1213	36221	83124
1214	36230	83045
1215	36277	83055
1216	36285	82977
1217	36332	82986
1218	36352	82933
1219	36360	82854
1220	36371	82781
1221	36417	82788
1222	36460	82789
1223	36468	82708
1224	36511	82709
1225	36554	82709
1226	36561	82629
1227	36577	82567
1228	36624	82575
1229	36668	82579
1230	36680	82509
1231	36695	82444
1232	36739	82448
1233	36748	82372
1234	36763	82307
1235	36805	82305
1236	36849	82307
1237	36857	82229
1238	36864	82148
1239	36906	82146
1240	36916	82072
1241	36926	81999
1242	36967	81994
1243	36981	81929
1244	37028	81938
1245	37071	81938
1246	37082	81867
1247	37124	81863
1248	37136	81794
1249	37179	81794
1250	37223	81795
1251	37230	81716
1252	37241	81646
1253	37284	81645
1254	37328	81646
1255	37372	81647
1256	37418	81653
1257	37462	81654
1258	37504	81652
1259	37549	81655
1260	37593	81656
1261	37601	81578
1262	37643	81576
1263	37651	81498
1264	37694	81498
1265	37715	81447
1266	37724	81373
1267	37766	81371
1268	37777	81300
1269	37820	81299
1270	37863	81298
1271	37878	81236
1272	37922	81236
1273	37939	81180
1274	37984	81182
1275	38028	81182
1276	38037	81108
1277	38071	81088
1278	38113	81083
1279	38154	81079
1280	38200	81082
1281	38215	81022
1282	38259	81021
1283	38267	80946
1284	38310	80944
1285	38317	80866
1286	38361	80866
1287	38374	80801
1288	38382	80725
1289	38390	80650
1290	38398	80574
1291	38409	80505
1292	38416	80427
1293	38425	80354
1294	38467	80350
1295	38476	80278
1296	38483	80201
1297	38494	80132
1298	38506	80066
1299	38529	80022
1300	38539	79951
1301	38546	79875
1302	38553	79799
1303	38562	79728
1304	38576	79664
1305	38582	79588
1306	38591	79516
1307	38635	79515
1308	38643	79441
1309	38652	79371
1310	38660	79295
1311	38666	79219
1312	38709	79217
1313	38717	79143
1314	38762	79146
1315	38804	79143
1316	38848	79142
1317	38855	79066
1318	38870	79007
1319	38876	78930
1320	38919	78928
1321	38928	78858
1322	38935	78784
1323	38942	78708
1324	38950	78636
1325	38995	78637
1326	39015	78589
1327	39023	78516
1328	39031	78444
1329	39037	78369
1330	39044	78295
1331	39088	78293
1332	39094	78219
1333	39102	78146
1334	39111	78077
1335	39160	78085
1336	39201	78080
1337	39210	78010
1338	39253	78008
1339	39261	77937
1340	39269	77865
1341	39315	77868
1342	39337	77824
1343	39350	77764
1344	39359	77695
1345	39404	77696
1346	39448	77695
1347	39459	77630
1348	39503	77629
1349	39545	77626
1350	39588	77623
1351	39634	77627
1352	39678	77625
1353	39688	77559
1354	39697	77489
1355	39739	77486
1356	39771	77462
1357	39791	77414
1358	39803	77352
1359	39845	77346
1360	39852	77274
1361	39895	77272
1362	39905	77206
1363	39949	77204
1364	39991	77200
